id,date,input,voters,imgur_id
1,"2016-02-12 03:00:54.720",a,[],
2,"2016-02-12 03:06:02.116",a,[],
3,"2016-02-12 03:10:14.277",a,[],
4,"2016-02-12 03:14:24.045",a,[],
5,"2016-02-12 03:21:58.324",a,[],
6,"2016-02-12 03:31:08.921",a,"[""88095025""]",
7,"2016-02-12 03:35:18.811",a,[],
8,"2016-02-12 03:39:30.979",a,[],
9,"2016-02-12 03:43:41.146",a,[],
10,"2016-02-12 03:47:53.459",a,[],
11,"2016-02-12 03:52:03.458",a,[],
12,"2016-02-12 03:56:15.812",a,[],
13,"2016-02-12 04:02:37.128",a,[],
14,"2016-02-12 04:10:43.291",down,[],
15,"2016-02-12 04:14:53.532",a,[],
16,"2016-02-12 04:19:07.011",a,[],
17,"2016-02-12 04:29:43.770",up,[],
18,"2016-02-12 04:33:53.929",a,[],
19,"2016-02-12 04:38:06.457",a,[],
20,"2016-02-12 04:42:16.558",up,"[""73310451""]",
21,"2016-02-12 04:46:29.475",a,[],
22,"2016-02-12 04:50:39.575",a,[],
23,"2016-02-12 04:54:52.921",a,[],
24,"2016-02-12 04:59:03.581",a,[],
25,"2016-02-12 05:03:16.122",a,[],
26,"2016-02-12 05:07:26.230",a,[],
27,"2016-02-12 05:11:38.843",a,[],
28,"2016-02-12 05:15:48.995",a,[],
29,"2016-02-12 05:20:01.543",a,[],
30,"2016-02-12 05:27:33.489",a,[],
31,"2016-02-12 05:31:44.898",select,[],
32,"2016-02-12 05:35:56.556",a,[],
33,"2016-02-12 05:40:05.659",a,[],
34,"2016-02-12 05:44:14.737",a,[],
35,"2016-02-12 05:48:23.884",a,[],
36,"2016-02-12 05:52:32.925",down,[],
37,"2016-02-12 05:56:42.045",a,[],
38,"2016-02-12 06:00:51.207",a,[],
39,"2016-02-12 06:05:00.729",a,"[""57241061""]",
40,"2016-02-12 06:09:10.576",down,"[""70647828""]",
41,"2016-02-12 06:13:20.107",a,[],
42,"2016-02-12 06:17:29.248",down,"[""57133948""]",
43,"2016-02-12 06:21:38.388",a,[],
44,"2016-02-12 06:25:47.513",a,[],
45,"2016-02-12 06:29:56.947",a,[],
46,"2016-02-12 06:34:06.529",a,[],
47,"2016-02-12 06:38:18.487",a,[],
48,"2016-02-12 06:43:47.799",a,[],
49,"2016-02-12 06:48:04.225",a,[],
50,"2016-02-12 06:52:13.342",a,[],
51,"2016-02-12 06:56:22.466",a,[],
52,"2016-02-12 07:00:32.029",a,[],
53,"2016-02-12 07:04:41.624",a,"[""82495883""]",
54,"2016-02-12 07:08:51.199",a,[],
55,"2016-02-12 07:13:01.091",a,[],
56,"2016-02-12 07:17:10.472",a,[],
57,"2016-02-12 07:21:19.503",a,[],
58,"2016-02-12 07:25:28.505",a,[],
59,"2016-02-12 07:29:37.848",a,[],
60,"2016-02-12 07:33:47.278",a,[],
61,"2016-02-12 07:37:56.310",down,[],
62,"2016-02-12 07:42:05.310",down,[],
63,"2016-02-12 07:46:14.331",a,[],
64,"2016-02-12 07:50:23.337",a,[],
65,"2016-02-12 07:54:32.327",b,[],
66,"2016-02-12 07:58:41.436",b,"[""88921764""]",
67,"2016-02-12 08:02:50.859",b,[],
68,"2016-02-12 08:06:59.827",b,[],
69,"2016-02-12 08:11:08.871",b,[],
70,"2016-02-12 08:15:17.879",b,"[""38993397""]",
71,"2016-02-12 08:19:27.365",down,[],
72,"2016-02-12 08:23:36.721",down,[],
73,"2016-02-12 08:27:46.222",left,[],
74,"2016-02-12 08:31:55.573",left,[],
75,"2016-02-12 08:36:04.945",left,"[""23948412""]",
76,"2016-02-12 08:40:14.302",left,[],
77,"2016-02-12 08:44:23.327",a,[],
78,"2016-02-12 08:48:32.342",right,[],
79,"2016-02-12 08:52:41.404",right,[],
80,"2016-02-12 08:56:50.436",right,"[""82495883""]",
81,"2016-02-12 09:00:59.440",right,[],
82,"2016-02-12 09:05:08.470",right,[],
83,"2016-02-12 09:09:17.458",down,[],
84,"2016-02-12 09:13:26.486",a,[],
85,"2016-02-12 09:17:35.525",right,[],
86,"2016-02-12 09:21:44.541",right,[],
87,"2016-02-12 09:25:53.587",right,[],
88,"2016-02-12 09:30:02.588",right,[],
89,"2016-02-12 09:34:11.604",right,[],
90,"2016-02-12 09:38:20.607",a,[],
91,"2016-02-12 09:42:29.622",b,"[""88318403""]",
92,"2016-02-12 09:46:38.657",right,[],
93,"2016-02-12 09:50:48.105",up,[],
94,"2016-02-12 09:54:57.579",a,[],
95,"2016-02-12 09:59:06.594",right,[],
96,"2016-02-12 10:03:15.616",right,[],
97,"2016-02-12 10:07:24.605",right,[],
98,"2016-02-12 10:11:33.617",right,[],
99,"2016-02-12 10:15:43.077",right,[],
100,"2016-02-12 10:19:52.875",right,[],
101,"2016-02-12 10:24:02.330",down,"[""58031234""]",
102,"2016-02-12 10:28:11.785",a,[],
103,"2016-02-12 10:32:21.236",left,[],
104,"2016-02-12 10:36:30.249",left,[],
105,"2016-02-12 10:40:39.263",down,[],
106,"2016-02-12 10:44:48.671",down,[],
107,"2016-02-12 10:48:58.021",a,[],
108,"2016-02-12 10:53:07.057",down,[],
109,"2016-02-12 10:57:16.086",down,[],
110,"2016-02-12 11:01:25.122",down,[],
111,"2016-02-12 11:05:34.140",right,"[""58031234""]",
112,"2016-02-12 11:09:43.143",right,[],
113,"2016-02-12 11:13:52.593",right,[],
114,"2016-02-12 11:18:02.034",a,[],
115,"2016-02-12 11:22:11.040",right,[],
116,"2016-02-12 11:26:20.055",right,[],
117,"2016-02-12 11:30:29.080",a,[],
118,"2016-02-12 11:34:38.088",left,[],
119,"2016-02-12 11:38:47.112",left,[],
120,"2016-02-12 11:42:56.092",left,[],
121,"2016-02-12 11:47:05.096",left,[],
122,"2016-02-12 11:51:14.553",down,"[""58042161""]",
123,"2016-02-12 11:55:23.983",a,[],
