id,recorded_at,created_at,length,published_at,title,broadcast_type,views
30255410,2014-02-14T10:53:48Z,2014-02-14T11:25:40Z,61911,2014-02-14T11:25:40.217304Z,"Twitch Plays Pokemon (Red) 1d11h25m ~ 2d4h32m (earliest available footage)",archive,152694
43378997,2014-02-14T10:53:48Z,2014-09-04T04:13:15Z,61704,2014-09-04T04:13:15.487816Z,"Twitch Plays Pokemon (Red) 1d11h25m ~ 2d4h32m (earliest available footage)",highlight,1199
43379043,2014-02-14T10:53:48Z,2014-09-04T04:19:52Z,217,2014-09-04T04:19:51.988015Z,"Timelapse: Twitch Plays Pokemon 1d11h25m ~ 2d4h32m",highlight,120
40800095,2014-02-14T10:59:48Z,2014-02-20T09:58:08Z,310,2014-02-20T09:58:07.94958Z,"Capturing and naming of JLVWNNOOOO the Rattata",highlight,5706
40798720,2014-02-14T21:52:28Z,2014-02-20T10:10:47Z,40,2014-02-20T10:10:46.522561Z,"Tossed Moon Stone",highlight,8417
40790582,2014-02-15T01:41:18Z,2014-02-15T12:57:34Z,470,2014-02-15T12:57:33.598267Z,"Ultimate battle with Misty",highlight,53372
30255470,2014-02-15T04:01:51Z,2014-02-15T04:33:39Z,17766,2014-02-15T04:33:39.352502Z,"Twitch Plays Pokemon (Red) 2d4h33m ~ 2d9h30m",archive,2701
43379083,2014-02-15T04:01:51Z,2014-09-04T04:13:52Z,17766,2014-09-04T04:13:52.329165Z,"Twitch Plays Pokemon (Red) 2d4h33m ~ 2d9h30m",highlight,219
40791291,2014-02-15T08:46:11Z,2014-02-15T13:32:22Z,239,2014-02-15T13:32:22.373358Z,"Trading Spearow for Farfetch'd",highlight,27657
30255036,2014-02-15T09:00:01Z,2014-02-15T09:31:54Z,61948,2014-02-15T09:31:53.877298Z,"Twitch Plays Pokemon (Red) 2d9h32m ~ 3d2h44m",archive,21721
43379094,2014-02-15T09:00:01Z,2014-09-04T04:14:30Z,61948,2014-09-04T04:14:29.82077Z,"Twitch Plays Pokemon (Red) 2d9h32m ~ 3d2h44m",highlight,60
40792931,2014-02-15T09:32:01Z,2014-02-20T10:58:07Z,99,2014-02-20T10:58:06.919702Z,"Solving Lt. Surge's Gym puzzle",highlight,19689
46674972,2014-02-15T10:00:28Z,2014-02-20T10:07:10Z,109,2014-02-20T10:07:09.704957Z,"Capturing second Rattata",highlight,2841
40791322,2014-02-15T12:33:01Z,2014-02-15T12:44:23Z,697,2014-02-15T12:44:23.169703Z,"Ultimate battle with Lt. Surge",highlight,75639
40799875,2014-02-15T13:13:07Z,2014-02-20T10:51:27Z,498,2014-02-20T10:51:27.02921Z,"DUX the Farfetch'd taught and used cut on bush",highlight,6274
46674986,2014-02-15T17:12:08Z,2014-02-20T10:26:06Z,519,2014-02-20T10:26:06.140267Z,"Capturing of Drowzee",highlight,3194
46675256,2014-02-15T17:38:08Z,2014-02-20T10:44:12Z,90,2014-02-20T10:44:12.453198Z,"Capturing Spearow",highlight,4461
30253159,2014-02-16T02:13:07Z,2014-10-07T03:18:10Z,1757,2014-10-07T03:18:09.755634Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,200
30253179,2014-02-16T02:42:35Z,2014-10-07T03:19:03Z,49012,2014-10-07T03:19:02.578652Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,165
30255124,2014-02-16T16:50:21Z,2014-02-16T17:22:09Z,64010,2014-02-16T17:22:09.004998Z,"Twitch Plays Pokemon (Red) 3d15h29m ~ 4d9h13m",archive,34004
43379153,2014-02-16T16:50:21Z,2014-09-04T04:14:49Z,64010,2014-09-04T04:14:49.329773Z,"Twitch Plays Pokemon (Red) 3d15h29m ~ 4d9h13m",highlight,143
30253072,2014-02-17T10:37:26Z,2014-10-07T03:25:25Z,83892,2014-10-07T03:25:24.89904Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,144
40791213,2014-02-17T11:17:31Z,2014-02-20T11:04:44Z,400,2014-02-20T11:04:43.580731Z,"Ultimate battle with Erica",highlight,32136
40792954,2014-02-17T13:28:21Z,2014-02-21T06:33:14Z,100,2014-02-21T06:33:14.402261Z,"Obtaining Eevee",highlight,22978
40790612,2014-02-18T03:28:41Z,2014-02-17T12:13:33Z,379,2014-02-17T12:13:32.669368Z,"ABBBBBBK( and JLVWNNOOOO released",highlight,124415
30253025,2014-02-18T09:56:24Z,2014-10-08T01:07:31Z,100581,2014-10-08T01:07:30.629043Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,153
30252843,2014-02-19T13:53:31Z,2014-10-08T01:33:05Z,2093,2014-10-08T01:33:04.790457Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,44
43378906,2014-02-19T13:53:31Z,2014-09-04T04:18:23Z,209,2014-09-04T04:18:23.469586Z,"Timelapse: Twitch Plays Pokemon 6d12h31m ~ 6d12h50m",highlight,68
30254886,2014-02-19T14:46:35Z,2014-02-19T14:47:20Z,38,2014-02-19T14:47:19.844339Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,857
30254792,2014-02-19T14:50:48Z,2014-02-19T15:22:40Z,181813,2014-02-19T15:22:39.551348Z,"Twitch Plays Pokemon (Red) 6d13h28m ~ 8d15h56m",archive,3336
43378942,2014-02-19T14:50:48Z,2014-09-04T04:17:11Z,75445,2014-09-04T04:17:10.92622Z,"Twitch Plays Pokemon (Red) 6d13h28m ~ 8d15h56m",highlight,101
43378964,2014-02-19T14:50:48Z,2014-09-04T04:19:13Z,247,2014-09-04T04:19:12.904759Z,"Twitch Plays Pokemon (Red) 6d13h28m ~ 8d15h56m",highlight,73
30252976,2014-02-21T17:19:56Z,2014-10-08T02:00:33Z,75211,2014-10-08T02:00:33.215898Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,58
30252974,2014-02-22T14:15:32Z,2014-10-08T02:12:39Z,184968,2014-10-08T02:12:38.825537Z,"Twitch Plays Pokemon (Enter buttons via chat!!!)",archive,720
30254769,2014-02-24T17:38:47Z,2014-02-24T18:10:39Z,54659,2014-02-24T18:10:38.558889Z,"Twitch Plays Pokemon (Red) 11d11h16m ~ 12d7h16m",archive,3410
