id,date,input,voters,imgur_id
1,"2016-08-16 23:44:13.210",a,"[""67836625"", ""85343075"", ""129079460"", ""28342518"", ""91626365"", ""92625631""]",IlYXRtK
2,"2016-08-16 23:53:38.209",a,"[""57099056"", ""131104468"", ""62530487""]",YHD97DK
3,"2016-08-17 00:06:18.673",a,"[""96001713"", ""87096788"", ""106600358"", ""118905000"", ""59705721"", ""110725789""]",0dcEO6x
4,"2016-08-17 00:16:38.551",a,"[""54750144"", ""66164208"", ""130663507"", ""103258643"", ""59705721"", ""58158075"", ""31273582""]",3RxSy85
5,"2016-08-17 00:26:07.300",a,"[""123591183"", ""61357205"", ""31273582"", ""101974965""]",VndNnFu
6,"2016-08-17 00:39:25.919",a,"[""85496514"", ""68617283"", ""57595608"", ""58091595"", ""60506285"", ""115007890""]",ONkfdcL
7,"2016-08-17 00:51:58.955",a,"[""49257792"", ""36545139"", ""100851956"", ""89654277"", ""39198133"", ""115046375"", ""38014067"", ""55436836"", ""38166500"", ""95278399""]",cjoCnyb
8,"2016-08-17 00:59:37.183",a,"[""88880840"", ""26773938"", ""76635349"", ""115046375""]",Hw6dSid
9,"2016-08-17 01:12:09.117",a,"[""97030601"", ""52525205"", ""51065433""]",rdhUeBl
10,"2016-08-17 01:19:43.056",a,"[""42854832"", ""59372961""]",GjX5Qqq
11,"2016-08-17 01:33:10.161",a,"[""42854832"", ""20359026""]",gxaDKE7
12,"2016-08-17 01:43:34.771",a,"[""57220153""]",pNP801H
13,"2016-08-17 01:50:52.501",a,"[""42854832"", ""48512193"", ""36545139"", ""84622601""]",w3LSYh4
14,"2016-08-17 01:59:30.345",a,"[""63973016"", ""69423857"", ""75895448""]",uASCAX1
15,"2016-08-17 02:10:14.332",a,[],kZeXUfo
16,"2016-08-17 02:21:16.904",a,"[""54750144"", ""48512193"", ""89930118""]",FV9bjXY
17,"2016-08-17 02:29:17.523",a,"[""57058233"", ""104402987"", ""68613773"", ""121307303""]",DzgPHzd
18,"2016-08-17 02:40:43.082",a,"[""57099056"", ""60760818"", ""79819347"", ""38088552"", ""12943243"", ""48255500"", ""31633602"", ""60788286"", ""121268605""]",kthKFdf
19,"2016-08-17 02:50:49.092",start,"[""58049288"", ""132224123"", ""96918529"", ""57315096"", ""88297609"", ""104402987""]",v5VUqmH
20,"2016-08-17 03:05:06.472",left,"[""9562001"", ""86151874"", ""62149443"", ""127716070"", ""123044678"", ""35793543"", ""130633387"", ""46118126"", ""42854832"", ""104402987"", ""124822291"", ""122302548"", ""80711734"", ""131141080"", ""77787385"", ""91481407""]",VEnkPq9
21,"2016-08-17 03:13:01.615",left,"[""115046375"", ""63813413"", ""56384855"", ""75895448"", ""88297609"", ""85086139"", ""81665439""]",1ODepfu
22,"2016-08-17 03:22:23.113",left,"[""72466233"", ""42996943"", ""100017941"", ""100035397"", ""87995839""]",9lnkDBd
23,"2016-08-17 03:31:53.469",left,"[""60760818"", ""55924323"", ""40302013"", ""94024654""]",0VuhyAo
24,"2016-08-17 03:43:50.740",left,"[""131141080"", ""95400356"", ""131169613"", ""55637926"", ""26204263""]",bJWM5dH
25,"2016-08-17 03:54:41.165",up,"[""113247684"", ""40813803"", ""96351124"", ""76635349"", ""91854719""]",GLukLFS
26,"2016-08-17 04:06:55.489",a,"[""107233090"", ""113247684"", ""45009389"", ""68613773""]",Bb6a8Tt
27,"2016-08-17 04:19:18.193",up,"[""128699648"", ""58749968"", ""60760818"", ""132406921"", ""77787385"", ""93648570"", ""103250155""]",2t9luME
28,"2016-08-17 04:28:38.082",up,"[""60760818"", ""36545139"", ""100035397"", ""132406921"", ""126286891"", ""69055868""]",Ey0SQPh
29,"2016-08-17 04:36:02.711",right,"[""61132282"", ""95400356"", ""56882934""]",DA6mIwh
30,"2016-08-17 04:44:22.650",a,"[""126286891""]",lkEKP2F
31,"2016-08-17 04:53:52.507",a,"[""48512193"", ""76635349"", ""20087417"", ""40170153"", ""91481407"", ""91626365"", ""85985391""]",RHrx0XY
32,"2016-08-17 05:13:45.316",start,"[""82497202"", ""95400356"", ""119010501"", ""132044024"", ""82509017"", ""99094701""]",RYB7XLl
33,"2016-08-17 05:19:57.019",a,"[""130934259"", ""38014067"", ""76543173"", ""69414430"", ""79633855""]",t4c6CLr
34,"2016-08-17 05:32:19.431",a,"[""82509017"", ""117494629"", ""64514654"", ""79633855""]",bzwHZEh
35,"2016-08-17 05:41:34.628",a,"[""71095289"", ""75778659""]",6R14y10
36,"2016-08-17 05:48:48.399",a,"[""39817794""]",kPWTfnV
37,"2016-08-17 05:58:01.740",a,"[""119010501"", ""131012966""]",ntvmoM5
38,"2016-08-17 06:11:14.495",down,"[""46880361""]",SRdk0dV
39,"2016-08-17 06:22:56.353",down,"[""58749968"", ""52782510"", ""57916879""]",pkotvYq
40,"2016-08-17 06:32:25.675",right,"[""113247684""]",gcxpPWg
41,"2016-08-17 06:41:17.100",a,"[""120794090""]",R6TM164
42,"2016-08-17 06:47:58.148",right,"[""120794090"", ""57422418"", ""119010501""]",3uafqcQ
43,"2016-08-17 06:54:55.732",up,"[""60980691"", ""56923125"", ""102274326""]",UhWB96T
44,"2016-08-17 07:07:30.654",a,"[""56923125""]",Ea2Ti2z
45,"2016-08-17 07:16:25.362",down,"[""60980691"", ""57548532"", ""113331902""]",EsAnEOn
46,"2016-08-17 07:26:50.901",right,"[""113247684"", ""45424269""]",yYl81hk
47,"2016-08-17 07:36:08.153",a,"[""45697089"", ""23135530"", ""32240798""]",lmBFC2e
48,"2016-08-17 07:46:51.706",a,"[""40365209"", ""120794090"", ""72549659"", ""63813413""]",jdi52dH
49,"2016-08-17 07:56:56.293",right,"[""115746624"", ""40365209"", ""31803957"", ""57827469""]",gArw70y
50,"2016-08-17 08:10:47.444",up,"[""40365209"", ""22750252"", ""7193549"", ""32240798"", ""81990087""]",ovU4rGo
51,"2016-08-17 08:21:45.717",right,"[""20399736""]",RUtQ7IB
52,"2016-08-17 08:31:22.360",a,"[""49257792"", ""80608553""]",Pdf1idR
53,"2016-08-17 08:41:08.913",up,"[""49257792"", ""53982363"", ""57155799""]",kFk6G1i
54,"2016-08-17 08:51:13.058",left,"[""80608553"", ""104902554"", ""15184907"", ""57155799""]",WxDnggB
55,"2016-08-17 09:04:05.227",a,"[""84925546""]",qqlCbhw
56,"2016-08-17 09:14:18.013",a,"[""77784571"", ""130457629"", ""103341230""]",HzogukI
57,"2016-08-17 09:23:32.259",a,[],wSHVR8r
58,"2016-08-17 09:33:33.058",a,"[""29863368""]",e9kixN5
